100 7000
100 93 153
99 94 390
41 67 44
64 57 930
98 86 173
41 70 773
44 89 948
41 65 267
53 94 9
60 95 732
53 50 815
60 91 877
98 63 531
98 26 596
47 30 661
24 22 272
27 82 475
85 86 807
17 7 889
36 30 799
5 56 489
1 50 725
44 61 276
62 95 392
70 79 938
31 26 965
75 78 398
77 42 204
78 96 642
94 73 649
18 34 803
31 8 69
44 51 737
24 70 254
94 59 443
39 59 977
15 31 770
2 74 211
23 17 919
16 32 488
2 32 366
34 29 797
12 68 136
86 58 761
85 19 308
64 29 972
94 20 922
25 78 308
70 49 632
81 65 601
75 1 397
89 45 558
99 18 863
60 38 203
91 84 698
53 57 826
3 65 905
9 80 82
55 23 35
33 59 508
17 98 467
53 52 820
23 14 721
4 91 899
56 94 755
84 63 794
22 64 247
55 1 113
42 83 572
79 78 30
82 67 180
67 10 114
85 41 282
46 62 444
91 81 742
62 91 174
8 29 967
2 63 977
77 76 579
18 23 852
56 76 755
37 61 564
26 69 474
85 20 108
74 28 417
98 64 976
62 66 934
17 32 232
77 28 878
53 12 948
42 14 347
68 1 503
69 9 324
79 29 391
28 98 842
97 98 878
74 18 220
31 57 939
92 50 704
59 67 933
32 69 666
93 57 93
29 41 595
58 56 595
44 4 82
1 66 775
90 10 868
36 6 478
72 28 64
92 71 722
32 20 912
9 87 458
12 36 77
22 88 659
38 65 810
91 87 444
69 81 85
88 54 17
15 87 212
22 52 595
4 62 829
53 55 71
89 92 338
8 23 763
19 61 749
58 97 158
8 23 617
94 50 80
85 31 125
12 70 776
29 62 122
18 37 271
97 99 778
98 73 30
88 49 848
58 11 870
53 83 465
58 18 19
23 43 849
10 77 888
64 80 244
80 11 392
63 92 398
18 90 935
28 35 200
18 4 417
28 97 91
14 2 723
95 34 715
17 80 669
39 62 76
51 19 640
64 90 488
35 85 446
12 99 785
93 92 949
89 46 474
27 20 480
44 4 102
80 18 783
2 51 482
31 78 310
66 13 913
65 44 428
40 7 958
57 18 416
31 34 689
32 19 236
15 28 847
85 65 464
49 97 952
40 39 522
93 81 806
51 79 923
35 98 965
12 69 56
93 12 91
14 89 173
18 91 665
55 38 49
53 4 218
23 93 581
54 20 667
72 33 202
46 26 580
77 25 375
26 66 138
66 86 993
21 19 287
14 85 951
98 53 223
98 19 862
22 60 450
16 95 874
65 2 252
10 64 750
84 58 608
58 12 561
68 14 613
63 42 756
27 34 311
5 69 87
95 80 202
16 72 211
52 13 573
23 99 361
86 93 318
21 43 336
95 21 735
1 17 684
67 49 368
11 20 108
84 26 102
50 10 122
83 76 291
19 45 125
51 93 895
85 83 278
3 40 724
71 68 76
13 36 599
37 43 807
14 78 168
65 16 481
8 68 953
49 77 304
41 64 879
73 95 723
55 3 132
58 14 165
6 32 865
85 81 212
5 80 901
76 24 986
49 51 67
12 31 562
4 70 365
64 59 93
29 10 70
46 59 810
25 53 711
79 68 660
40 34 765
24 60 229
34 90 26
10 16 193
80 8 753
95 45 397
72 42 142
35 88 769
18 80 394
95 40 361
52 37 94
11 87 131
48 66 445
9 42 500
62 36 330
15 60 677
26 67 781
79 46 941
24 48 695
32 41 25
65 85 647
79 10 360
4 39 524
27 96 535
48 67 766
83 94 282
41 42 299
98 82 812
89 65 680
57 17 330
68 5 321
72 99 192
9 19 411
74 29 99
77 67 522
93 42 941
71 1 335
10 31 342
40 94 678
90 94 994
84 70 434
90 33 966
66 42 17
13 73 239
87 75 978
42 96 148
25 2 939
13 32 235
61 39 523
31 33 305
71 12 284
32 92 777
72 21 365
78 8 554
81 63 898
30 72 944
88 78 344
27 91 590
79 47 530
78 25 666
20 73 839
83 17 44
88 1 695
56 72 395
5 34 423
52 73 88
11 53 139
21 82 635
74 95 835
11 77 364
8 49 71
15 11 128
10 6 690
62 61 499
51 12 938
28 40 953
90 99 161
94 40 976
50 10 377
82 39 957
17 100 610
100 31 741
83 12 106
8 60 285
96 38 540
1 12 891
55 5 504
8 39 744
34 9 712
8 35 94
95 34 834
64 77 879
88 13 388
32 24 364
44 59 234
69 55 796
69 49 815
31 45 890
16 12 849
1 94 391
86 16 566
100 65 76
17 92 310
17 82 6
65 26 900
80 83 7
60 53 54
21 6 176
34 1 552
12 72 981
83 80 525
48 41 54
4 33 32
47 14 116
53 1 851
77 83 926
74 46 403
81 37 451
43 11 659
65 87 972
94 56 11
15 9 690
72 24 181
10 16 422
8 66 481
42 91 765
78 31 515
28 95 610
23 32 186
74 34 245
76 2 625
19 59 920
29 78 959
94 62 492
12 75 495
90 37 951
85 3 739
48 20 699
13 70 177
8 24 870
66 63 748
88 100 553
58 98 308
54 53 105
82 96 506
80 62 426
30 62 174
13 20 782
13 37 740
33 69 492
34 49 825
55 44 139
22 12 893
36 60 239
32 68 817
20 90 452
28 78 112
71 52 800
95 15 607
17 9 581
10 59 775
84 45 72
70 63 965
31 66 701
18 66 841
83 58 81
9 53 31
6 49 773
57 48 227
45 46 167
8 48 511
33 97 881
26 23 645
99 98 602
16 61 176
25 90 614
15 73 827
49 2 33
75 45 274
51 49 211
32 35 317
9 78 92
67 98 841
49 100 915
10 99 511
14 98 572
89 62 936
15 37 852
71 32 332
61 74 738
10 29 11
82 6 272
39 71 748
52 59 379
35 18 185
1 99 854
23 67 548
94 30 460
10 18 624
56 74 772
58 53 701
31 76 191
65 90 58
90 8 307
8 27 134
85 96 41
43 7 332
19 69 942
88 12 212
51 89 966
11 83 320
39 7 705
30 98 800
6 80 187
76 15 728
67 81 106
86 67 711
50 93 382
79 15 730
22 55 199
12 80 157
28 99 973
16 34 315
39 2 804
32 56 932
83 58 649
100 24 347
42 76 815
54 34 226
84 45 807
88 34 871
44 2 811
43 55 638
80 21 930
31 25 534
65 11 661
72 79 19
96 19 247
70 55 690
33 94 31
42 14 815
8 97 341
83 44 708
72 9 165
43 46 333
94 28 538
12 60 240
6 32 31
22 88 735
51 30 362
40 19 480
6 20 416
27 65 792
55 77 996
71 11 439
61 6 77
35 28 355
82 77 398
32 74 494
3 26 303
50 80 22
74 45 396
63 18 323
84 23 263
42 62 304
86 85 119
79 66 390
78 39 528
24 85 451
16 60 634
51 75 154
91 81 326
93 67 806
37 51 985
51 49 230
39 57 411
77 96 849
29 35 907
85 4 391
92 37 890
3 14 445
95 11 263
41 42 507
55 63 764
93 31 344
19 34 883
98 66 803
64 30 39
52 92 907
84 100 919
67 70 405
78 46 30
23 32 880
30 64 577
79 64 852
12 67 643
86 61 603
63 55 627
50 95 253
12 58 490
77 75 716
91 60 679
44 26 600
46 88 758
71 45 174
89 64 259
47 81 849
62 16 614
37 85 207
57 72 376
62 89 870
28 94 960
93 65 205
49 33 521
83 85 962
80 14 841
76 93 475
36 1 329
62 18 514
47 65 167
67 7 566
44 5 628
1 6 887
35 32 206
9 54 448
94 25 677
41 15 643
56 63 570
23 26 997
84 58 438
36 30 574
21 100 683
17 20 290
26 49 35
34 47 510
91 46 81
29 53 972
54 56 765
16 25 983
58 81 137
9 15 237
86 17 575
81 84 672
22 96 668
4 25 297
45 20 849
47 24 695
59 100 591
31 91 950
70 85 671
66 28 91
34 32 211
35 63 865
9 64 612
36 11 904
9 11 42
23 27 349
36 50 817
77 61 560
94 50 396
11 71 30
57 24 84
78 97 668
99 92 269
59 42 444
92 4 487
85 68 843
81 83 876
27 25 834
23 91 903
35 21 419
99 31 657
52 53 70
59 29 453
65 64 803
59 15 450
64 19 522
90 52 484
42 86 409
9 93 524
72 53 113
62 25 776
47 66 855
19 84 570
34 55 269
10 66 815
45 43 593
48 64 300
46 52 925
94 65 503
64 41 51
80 4 510
42 68 91
70 62 588
44 34 974
74 60 195
54 63 11
32 91 684
85 70 154
51 36 718
58 20 560
35 56 385
37 67 477
28 38 916
47 4 215
58 2 27
86 39 602
54 24 376
69 30 662
21 82 511
75 92 301
24 76 427
71 64 551
26 19 296
95 35 995
53 24 991
81 16 95
67 45 761
24 53 400
89 99 831
95 40 363
88 38 963
90 67 688
76 63 174
64 80 833
66 86 298
67 12 688
30 78 730
69 63 907
52 35 54
72 86 517
25 55 940
80 73 928
49 68 209
91 33 339
47 53 558
49 56 277
62 54 836
84 20 225
56 90 168
27 78 920
100 45 838
55 50 255
38 3 864
25 35 373
68 16 539
63 36 586
49 41 552
92 65 101
36 13 752
86 59 371
29 75 345
52 67 878
8 78 979
40 56 839
92 50 68
59 6 561
18 53 551
64 5 177
17 41 424
81 17 962
68 98 137
7 91 218
80 42 35
72 83 77
57 33 225
12 67 374
36 67 310
71 19 441
62 35 828
12 25 778
91 29 535
44 94 81
41 1 196
43 82 465
60 41 740
74 38 672
42 79 180
40 51 418
1 94 897
72 19 896
8 82 731
7 21 208
73 93 256
34 40 469
6 95 584
66 24 201
71 15 953
80 99 478
82 91 495
30 20 40
12 20 866
29 47 190
98 59 93
5 87 632
52 56 574
66 92 493
21 62 213
82 92 163
84 42 183
34 93 454
13 99 293
92 76 87
30 40 465
26 61 875
79 62 129
40 72 721
86 95 892
75 97 266
31 11 460
18 10 396
20 69 998
13 17 60
61 89 222
8 77 689
93 85 547
88 30 963
73 98 437
74 97 706
50 94 218
45 29 9
84 11 267
7 56 801
60 84 542
86 75 128
32 24 425
69 56 722
17 11 293
51 73 76
11 30 126
19 9 593
69 42 905
9 99 141
19 68 511
12 70 454
63 96 816
70 33 537
17 37 643
12 84 765
83 67 666
60 73 920
64 75 499
15 99 850
48 31 543
98 16 464
21 70 820
82 63 513
53 63 210
36 92 503
82 84 777
33 11 506
41 87 447
75 3 535
64 40 193
88 52 963
85 60 460
81 46 203
67 75 674
82 28 215
59 83 567
59 69 88
69 34 344
48 21 612
1 61 732
33 27 776
57 30 37
44 62 259
83 9 849
68 34 730
46 67 757
65 38 408
66 38 760
91 42 52
44 31 813
87 30 337
2 17 664
72 16 680
68 84 497
60 93 818
19 70 57
3 29 948
57 53 240
90 53 342
65 22 234
68 23 476
70 34 333
76 88 594
86 28 929
17 44 267
15 35 524
100 36 251
61 41 647
19 35 927
59 94 439
19 29 79
80 24 781
46 9 36
8 61 659
88 2 609
2 91 423
68 81 879
31 19 690
56 11 966
75 3 891
27 92 235
23 24 759
90 14 844
74 78 590
80 83 432
30 76 353
31 44 649
39 63 267
12 15 952
62 69 557
89 52 9
85 45 721
86 52 708
2 40 755
85 96 745
39 1 713
3 9 188
64 22 92
96 24 825
66 9 761
85 28 709
70 85 774
77 19 606
79 53 480
47 77 882
51 30 878
93 28 964
91 21 45
63 94 814
100 46 344
36 30 474
11 54 990
66 3 504
93 60 716
89 64 816
64 40 963
40 63 109
34 10 527
3 97 235
48 45 933
92 48 421
22 60 220
2 4 520
31 50 167
32 91 932
3 19 663
57 28 486
36 50 615
6 69 50
6 87 734
32 51 877
23 63 649
31 6 660
14 68 43
10 45 845
21 90 112
32 39 457
18 87 945
62 76 778
36 13 623
76 6 797
32 73 335
30 90 258
52 27 696
75 49 626
96 88 663
60 84 712
81 29 46
60 38 924
32 9 528
23 90 778
12 75 710
58 96 11
46 30 862
56 62 34
50 60 573
70 23 914
86 21 220
24 84 78
19 88 167
12 60 274
70 16 155
10 41 817
83 79 903
12 30 835
50 5 250
10 48 170
62 2 990
99 55 81
25 84 995
35 56 252
28 87 881
39 95 657
63 2 231
45 33 450
28 35 314
19 76 95
41 24 160
29 33 301
46 87 537
1 60 30
85 22 533
81 56 670
8 96 451
11 93 267
8 94 292
69 36 409
61 100 911
33 14 302
90 53 512
93 79 669
72 24 753
37 71 694
19 36 842
88 46 358
36 83 463
91 74 184
47 67 268
54 35 459
62 82 881
5 14 252
64 92 505
5 24 170
45 13 485
91 45 813
6 60 529
71 59 517
42 65 104
93 38 419
25 56 697
64 82 57
43 37 160
82 18 222
59 25 816
1 67 499
41 77 118
64 11 313
40 57 524
31 90 406
2 20 681
51 83 856
90 86 395
18 71 548
6 10 517
10 63 408
46 22 671
47 26 823
55 22 178
57 84 562
25 79 913
21 94 115
5 87 528
36 100 492
96 4 423
6 78 44
59 100 599
41 89 692
87 25 9
42 76 335
86 43 285
95 91 490
53 55 429
96 84 831
3 59 729
16 40 49
50 24 739
39 57 853
64 34 172
13 68 993
91 70 459
41 91 491
35 22 903
4 48 660
15 82 387
51 80 351
20 31 662
5 68 419
2 97 45
12 49 128
8 11 835
90 29 877
73 83 365
39 41 567
75 14 536
74 53 267
82 93 625
93 97 60
89 69 52
81 74 995
27 58 874
7 80 339
73 50 62
15 66 944
90 13 736
46 91 154
88 93 526
42 2 90
91 57 595
57 25 177
25 86 160
42 74 687
94 45 180
12 31 558
2 76 932
40 100 581
96 35 938
48 42 435
39 30 953
87 29 995
5 57 728
74 34 317
99 94 992
21 16 212
50 4 756
48 88 578
20 51 564
53 83 255
36 98 756
27 18 735
80 63 198
10 76 950
93 62 298
51 55 557
30 69 614
31 29 33
6 46 742
54 6 255
56 36 677
77 60 406
42 49 227
81 94 2
14 42 759
15 2 127
19 7 251
32 83 921
12 5 430
88 96 88
10 31 556
85 65 843
45 61 929
93 3 300
10 99 861
27 98 386
80 15 732
62 9 708
74 19 18
53 96 929
44 33 752
10 68 67
76 72 258
31 36 402
8 82 642
96 64 768
57 91 243
13 29 354
66 81 721
16 90 969
51 55 716
60 37 883
80 42 681
16 83 689
74 68 9
49 62 717
41 70 725
71 8 286
35 27 316
44 83 433
25 45 552
4 91 777
4 20 999
14 61 131
68 58 179
41 30 995
5 6 702
52 44 58
30 86 570
14 45 328
85 50 2
5 31 295
24 13 178
53 1 915
100 5 25
30 88 895
20 42 45
96 49 366
56 100 42
13 38 229
11 50 125
2 54 749
35 16 581
31 89 336
15 45 742
91 98 966
28 62 879
7 52 709
17 57 149
76 11 582
31 90 180
41 58 882
76 52 614
31 89 235
27 39 357
60 62 336
19 45 803
44 50 938
91 3 41
24 69 915
42 15 240
28 82 5
40 90 625
68 98 72
27 62 963
83 10 723
33 80 981
4 9 323
6 35 361
41 19 228
14 24 602
19 14 499
31 55 979
89 81 263
28 39 13
40 58 67
19 36 855
79 90 66
43 11 498
2 19 695
38 52 627
41 64 109
97 67 6
79 96 728
11 59 700
81 74 916
55 64 51
93 92 557
55 7 932
10 99 31
86 89 50
1 65 711
44 23 377
44 2 839
82 11 875
2 85 233
42 82 834
82 99 768
56 3 688
84 60 329
68 30 356
23 19 757
22 5 961
67 13 919
37 89 106
17 78 893
77 99 57
26 59 80
38 63 762
7 93 817
20 39 702
6 73 182
65 83 788
29 3 750
75 54 182
41 10 495
52 8 966
83 51 821
46 47 717
7 31 519
23 56 610
82 100 213
67 68 972
12 50 292
63 12 105
15 49 730
68 88 548
59 25 53
96 51 968
55 75 652
43 46 768
59 49 903
47 9 952
39 99 902
29 21 873
85 36 837
93 40 868
86 54 458
1 21 676
70 69 899
77 22 458
12 73 526
50 46 718
100 93 710
64 25 564
29 52 853
7 28 192
40 16 370
19 9 592
8 87 301
27 84 815
9 92 505
83 8 803
78 70 376
30 45 554
56 35 972
29 84 916
32 65 953
22 23 607
71 84 1000
29 17 244
33 8 333
44 45 296
37 6 272
23 14 210
40 33 323
30 66 159
10 65 754
24 55 85
83 53 338
86 15 714
52 95 96
92 82 179
49 30 622
86 59 152
34 51 228
22 31 990
46 11 799
7 100 193
11 29 815
6 85 670
56 50 614
28 83 668
23 73 31
71 94 688
5 25 956
91 71 315
59 62 236
64 14 574
32 28 169
35 31 865
95 47 959
25 53 776
2 44 606
65 37 293
94 58 696
59 28 975
99 37 535
30 54 511
97 69 945
49 55 914
14 11 489
63 97 495
64 57 218
67 9 409
2 18 204
23 96 966
94 39 3
12 20 398
70 83 62
81 51 612
91 38 209
84 95 276
68 56 308
54 51 929
6 31 78
28 63 623
86 69 141
62 55 896
90 47 721
21 62 554
30 13 781
59 55 878
74 51 94
72 87 904
17 87 515
4 5 785
41 63 290
61 31 130
15 57 599
52 74 924
53 8 847
28 88 830
33 24 460
35 50 240
57 49 151
17 9 176
48 95 126
26 4 477
54 65 207
76 30 82
70 49 936
79 80 454
96 66 619
20 42 406
99 50 893
28 74 530
72 38 409
81 86 332
15 61 536
12 95 884
79 57 216
1 34 727
77 26 772
29 26 843
50 76 855
39 29 537
27 64 472
82 54 790
77 59 755
95 94 301
75 31 501
18 44 996
7 59 42
61 78 690
3 81 500
6 16 799
100 5 315
73 44 414
88 6 58
90 68 672
25 41 425
6 39 458
25 51 536
43 49 326
74 10 487
99 32 182
55 51 790
38 99 187
99 65 138
100 30 554
27 7 591
6 63 634
78 37 732
17 97 706
50 12 999
91 53 304
34 85 205
52 34 436
54 41 872
31 24 919
53 4 909
64 33 104
14 98 101
38 13 970
88 57 422
79 94 315
85 42 61
37 47 376
93 2 157
1 5 297
5 20 768
15 53 87
11 37 543
39 80 622
23 81 479
41 47 772
1 23 616
35 62 928
51 58 189
65 19 509
56 25 719
97 10 132
41 44 908
6 8 876
19 77 591
40 43 259
62 38 770
10 42 81
29 13 999
27 12 800
1 11 882
9 97 834
59 19 529
31 73 200
71 57 222
26 20 409
60 26 664
58 29 717
86 34 618
16 25 378
14 40 147
65 27 320
19 10 267
95 42 392
47 98 462
19 14 186
83 21 710
82 95 859
48 32 57
55 100 182
83 87 309
17 52 568
98 58 777
1 75 717
4 34 27
87 55 237
42 60 891
4 76 983
73 9 961
2 94 464
1 25 815
43 83 746
32 8 721
59 31 803
74 9 346
67 76 586
45 24 935
50 13 518
36 93 700
97 3 988
58 93 631
63 15 290
51 84 208
57 38 7
85 81 720
74 96 821
9 68 395
35 28 249
64 47 136
44 26 926
47 90 964
26 74 267
42 66 321
51 52 767
70 87 491
63 30 609
55 9 633
58 83 810
53 52 701
15 77 569
37 45 223
63 53 682
44 37 771
81 6 750
75 58 225
53 73 424
15 62 787
68 97 233
52 66 602
97 27 214
30 39 151
65 53 508
21 7 544
89 4 683
49 71 34
30 74 891
47 72 683
24 3 764
17 23 385
46 51 681
67 80 857
25 70 595
16 45 110
92 85 827
4 27 190
79 48 342
30 88 137
60 6 132
16 10 296
78 16 855
93 88 40
8 12 917
72 10 921
9 79 148
56 23 391
37 94 145
61 88 525
52 51 499
85 34 89
42 32 849
24 44 547
53 3 412
4 63 132
50 19 1
30 68 224
82 32 394
83 7 259
62 59 287
10 9 935
37 43 87
7 68 53
54 34 557
8 50 332
69 37 395
74 85 19
53 71 411
29 9 463
17 67 546
96 14 712
75 20 314
13 15 62
40 27 343
8 27 154
72 38 472
1 71 170
92 55 945
79 82 181
35 14 949
32 26 259
3 78 264
61 73 824
21 36 943
94 74 711
76 73 524
84 65 599
87 64 47
50 93 229
39 76 811
70 45 256
83 49 456
12 69 784
13 47 276
47 95 889
36 43 560
7 63 335
51 11 597
3 70 15
93 41 502
2 49 33
1 19 109
58 84 955
13 52 775
95 94 701
15 58 479
42 58 413
49 75 102
29 44 311
20 75 85
51 27 259
94 38 550
78 44 446
43 41 229
82 31 131
89 19 902
36 35 994
92 9 730
36 38 293
81 49 706
57 25 474
91 27 633
82 64 220
56 8 729
63 44 92
32 24 702
13 31 523
91 38 743
7 10 493
23 66 323
55 91 653
72 28 896
18 75 151
55 22 221
78 66 934
34 92 871
78 25 523
35 99 59
6 74 678
17 35 961
54 31 539
21 29 412
79 4 28
31 47 906
92 63 954
95 92 4
45 19 775
50 40 267
9 4 71
99 11 738
46 37 456
64 77 781
14 79 787
30 33 913
30 6 525
21 5 23
27 17 284
86 90 297
13 64 479
89 100 695
41 83 618
86 12 570
91 42 419
59 98 414
37 90 990
87 53 909
30 73 141
65 35 677
29 82 386
61 34 566
1 29 641
26 66 608
38 10 987
74 42 810
26 65 148
57 9 236
33 25 763
83 24 529
5 55 849
13 95 481
78 16 603
14 22 801
76 35 438
99 88 606
19 5 460
69 79 455
86 74 605
11 86 612
14 25 982
70 17 362
23 18 423
27 72 490
85 30 514
7 88 181
11 2 339
93 44 180
60 63 346
20 28 825
68 89 981
55 83 415
89 88 568
36 37 533
47 20 106
38 61 628
65 89 539
81 49 820
26 68 24
89 79 352
75 36 685
32 92 738
67 97 427
13 36 429
89 17 629
3 61 508
23 47 71
100 55 518
91 46 155
23 46 711
47 73 516
8 3 90
39 70 610
24 19 472
82 61 708
91 45 151
27 29 766
99 13 330
62 34 877
35 8 490
41 42 268
2 73 55
68 81 732
32 63 458
84 35 900
62 24 870
83 12 864
14 35 433
78 98 504
84 20 754
4 63 283
22 17 420
51 76 173
96 72 486
83 5 486
59 42 709
84 86 940
78 36 428
97 69 767
59 54 552
27 35 229
71 51 205
3 13 770
76 5 434
32 71 976
4 62 138
100 96 105
57 28 422
31 87 8
40 90 977
59 79 49
33 85 811
54 74 525
69 13 66
69 97 307
87 15 96
32 73 174
100 2 9
66 60 740
50 77 664
75 20 896
45 96 710
78 17 730
50 52 377
34 96 351
16 94 271
43 33 308
88 56 174
52 73 559
83 9 391
38 86 92
77 89 61
82 36 966
35 86 31
88 96 891
8 43 468
22 45 730
46 90 419
48 62 869
47 84 588
12 5 735
32 55 578
39 33 628
92 83 3
3 21 3
50 95 145
86 2 404
37 35 557
17 77 896
28 2 373
58 79 70
12 29 476
70 2 121
27 97 424
55 95 737
62 57 629
21 33 9
74 85 470
1 79 423
88 64 863
19 86 514
48 72 13
21 90 363
21 28 337
45 83 137
54 6 424
39 97 677
56 60 375
6 13 495
15 1 135
50 74 880
9 87 600
36 39 340
10 21 621
79 67 602
67 47 959
41 78 125
74 73 46
19 42 146
46 42 92
38 34 781
6 17 940
26 31 232
83 40 127
32 88 119
25 29 334
36 98 646
9 70 736
59 19 402
49 1 164
50 87 628
1 24 318
71 17 182
61 69 987
95 89 416
70 31 251
58 15 475
60 69 97
70 7 276
64 49 280
28 68 802
45 89 317
85 6 633
64 8 330
39 5 667
100 18 229
41 36 641
78 50 656
31 89 103
19 35 500
20 50 538
6 43 960
46 8 119
35 63 766
27 46 782
27 26 573
25 55 769
34 89 51
36 99 935
14 82 864
98 59 311
59 93 236
69 95 340
1 8 626
7 56 960
61 63 755
40 9 320
68 72 827
62 76 991
61 28 593
94 99 464
82 51 851
46 61 392
95 12 761
94 25 543
95 54 433
4 85 508
38 70 805
45 79 271
8 19 285
42 8 880
47 57 441
96 31 989
68 93 864
60 14 836
72 37 158
27 54 30
50 89 221
83 97 278
77 91 531
17 28 101
2 24 518
70 76 779
18 17 750
28 88 676
56 27 467
38 60 458
80 58 825
100 49 619
64 56 445
65 69 181
29 89 320
52 60 265
24 30 672
43 50 828
96 80 567
25 83 557
11 36 70
22 25 560
87 96 753
13 2 281
82 55 200
69 97 89
96 52 371
32 50 851
89 63 808
9 74 861
31 3 208
90 21 608
76 1 873
43 80 118
5 39 422
12 14 718
66 3 951
85 78 990
78 76 998
28 67 293
19 100 235
56 74 338
6 67 977
60 89 995
38 99 702
19 80 416
58 96 678
27 17 442
81 23 471
95 83 278
18 22 481
8 23 288
65 61 254
14 12 513
59 6 671
12 21 721
86 69 128
50 58 511
34 22 13
59 66 284
32 86 221
99 12 193
32 2 974
71 72 688
85 62 709
53 14 361
77 94 555
94 44 353
18 91 577
37 64 219
77 10 398
33 48 652
88 74 381
2 73 851
58 26 8
93 25 108
8 57 603
60 7 604
3 89 961
53 96 464
56 99 130
22 40 881
75 69 349
75 7 866
29 67 222
49 73 962
94 62 972
70 71 485
27 9 240
17 99 292
13 33 459
65 100 763
87 79 301
79 11 525
76 67 630
26 18 463
96 100 596
7 34 65
52 13 301
92 70 645
24 33 598
62 40 864
18 35 103
79 96 491
11 94 193
70 79 950
56 52 819
28 29 140
39 1 813
26 30 325
95 83 764
99 22 902
85 44 403
59 73 189
78 63 718
4 68 403
76 68 174
48 44 789
95 80 675
58 69 842
67 93 142
56 81 565
1 34 446
95 46 835
60 7 128
64 20 975
90 45 163
94 30 65
46 71 443
38 3 85
6 29 145
79 4 32
28 61 955
5 34 461
18 61 166
57 22 814
36 30 83
73 86 65
88 100 534
18 44 159
3 2 762
43 94 155
92 99 636
64 45 562
35 48 22
42 40 777
51 69 894
23 75 257
90 37 671
63 92 346
36 41 719
5 58 130
56 40 655
90 60 780
45 24 943
36 91 435
50 18 12
32 4 254
99 58 269
92 5 53
16 60 707
97 59 625
36 27 917
91 44 958
12 36 116
36 27 695
28 53 755
64 48 565
14 74 131
42 1 649
33 51 41
95 35 489
76 36 970
74 82 530
29 31 248
74 71 243
78 80 848
44 1 577
28 96 292
44 69 136
100 62 557
14 32 147
79 46 615
31 84 457
96 49 388
57 19 435
66 100 514
11 41 222
29 34 856
78 100 209
48 87 234
100 23 977
41 87 917
68 36 476
80 55 878
1 80 870
43 44 356
50 10 924
49 21 813
52 4 307
41 88 264
83 9 656
26 16 853
6 97 737
92 99 910
99 59 114
36 30 199
20 41 21
47 79 921
80 90 762
5 14 327
83 33 892
42 54 235
78 20 718
34 99 640
29 18 555
60 23 695
97 91 812
22 7 68
64 81 296
89 33 706
92 11 257
58 43 393
1 36 855
5 81 353
36 86 609
93 36 425
98 84 276
43 3 774
66 46 355
4 63 120
96 67 953
73 21 572
22 31 353
15 21 417
36 94 91
44 48 578
73 61 369
60 81 138
73 13 495
5 32 804
39 73 907
45 100 132
4 91 795
50 15 44
38 39 888
5 32 616
45 33 43
76 9 703
2 78 275
83 17 836
22 39 211
10 23 883
46 53 159
43 81 116
18 89 931
84 67 758
8 76 428
47 18 411
11 72 114
14 24 289
41 43 711
82 62 801
11 65 818
79 60 563
48 63 870
12 95 823
2 28 821
10 86 362
14 29 765
57 97 6
25 66 587
63 50 692
26 13 312
43 90 959
84 60 72
61 48 764
83 21 221
20 69 692
31 36 870
47 100 696
60 22 733
10 74 812
