20
500 500
176 16 1
316 395 3
182 200 4
266 45 3
59 41 2
256 86 3
234 432 5
349 190 3
344 357 1
311 71 3
189 157 2
293 112 1
207 61 5
450 327 3
368 155 3
61 373 5
4 380 4
440 457 1
192 364 1
238 193 3
168 352 4
492 117 2
86 469 1
375 399 4
253 410 3
185 6 1
133 191 5
416 280 4
371 169 3
478 68 3
65 226 4
360 129 3
187 367 2
448 436 5
42 371 4
49 473 3
334 189 3
465 216 2
440 375 3
246 464 3
278 464 1
259 367 3
87 257 2
395 383 2
289 221 5
358 58 5
44 140 3
326 1 5
54 390 1
119 10 4
477 241 3
218 211 3
390 150 5
30 228 1
490 412 3
185 70 2
449 228 3
355 159 1
57 496 5
267 75 4
166 179 4
457 129 3
280 226 1
425 53 1
49 307 1
216 94 2
160 36 5
52 56 4
393 316 3
150 320 1
413 229 1
216 197 2
75 419 2
142 207 1
281 494 3
434 484 5
471 252 2
112 45 2
273 58 2
294 339 5
311 166 4
284 328 4
390 10 3
104 417 5
439 326 3
333 204 1
103 115 5
394 296 4
265 459 2
194 241 4
216 289 4
447 436 3
258 162 3
274 389 4
159 442 2
340 356 3
494 246 3
417 212 5
479 485 4
409 472 5
275 399 4
279 277 4
433 1 1
339 417 1
10 201 5
124 286 2
343 90 4
252 6 4
333 189 5
369 45 1
109 222 3
175 315 5
205 248 3
163 157 4
483 168 4
130 302 2
487 124 3
119 382 3
249 455 4
418 83 1
347 171 3
466 92 4
437 74 3
438 369 3
421 441 5
291 132 5
267 405 4
245 412 5
436 14 2
470 35 5
36 412 2
343 450 2
13 10 4
92 461 5
272 203 2
366 69 2
241 335 3
305 313 4
370 463 2
86 240 1
144 281 4
82 137 5
170 163 3
11 490 2
345 436 3
141 144 4
259 359 3
183 180 5
366 191 5
306 33 3
364 495 4
300 59 3
489 492 3
352 193 4
161 435 1
339 353 4
478 273 1
269 358 1
298 200 5
359 145 3
449 54 4
80 322 5
186 494 1
26 14 1
21 301 5
101 290 2
26 180 1
58 73 1
266 203 3
378 46 3
262 474 3
185 412 1
467 76 5
125 379 4
378 282 4
22 199 2
186 279 2
309 413 1
334 460 5
491 494 1
93 191 3
43 312 4
112 395 3
253 49 5
52 238 3
99 435 4
251 360 2
323 388 3
338 233 1
84 318 2
473 294 5
327 14 2
338 230 1
205 97 2
10 139 3
206 173 4
69 491 4
309 485 3
251 175 4
471 452 2
82 14 2
283 23 2
398 447 1
172 309 4
134 97 2
267 17 5
372 18 5
145 323 2
322 123 5
476 265 1
137 301 1
258 456 2
123 30 5
334 26 5
465 500 3
236 325 1
240 442 5
156 298 5
180 172 1
24 137 4
32 447 4
228 485 3
280 355 2
89 64 1
87 94 1
168 188 1
343 283 4
155 425 2
96 20 5
462 189 4
135 393 3
133 171 3
32 365 5
190 384 1
346 426 4
475 455 2
257 373 1
188 320 5
208 96 4
392 350 3
183 166 1
97 107 5
456 174 5
244 386 1
424 158 5
375 100 5
407 393 1
163 6 1
281 163 2
142 234 2
407 289 4
387 202 4
32 200 5
245 143 3
155 24 4
180 186 4
20 462 3
119 492 2
282 90 5
129 156 5
351 410 4
250 312 3
47 93 3
263 1 4
462 267 3
158 163 2
228 363 1
222 89 1
421 332 4
320 448 1
389 219 4
3 43 3
158 191 1
496 87 3
266 273 5
318 192 2
281 291 3
14 398 3
123 191 5
232 244 1
178 369 1
133 32 5
485 157 3
413 434 1
18 311 2
75 392 4
71 20 5
133 357 4
108 215 1
314 211 5
278 268 4
149 160 4
488 375 3
367 32 5
173 475 3
65 79 5
306 184 3
48 318 5
221 206 3
441 245 4
357 29 3
54 308 5
361 283 2
29 482 5
143 214 4
290 402 4
500 333 2
98 386 2
173 267 4
251 44 5
47 153 5
483 188 2
160 172 5
46 275 2
393 58 1
245 325 4
239 318 5
410 91 3
334 151 5
267 200 5
396 440 2
213 344 2
392 252 3
106 39 1
342 355 1
255 118 4
446 100 2
493 197 3
245 12 1
274 8 3
471 251 1
24 222 2
97 41 4
272 106 1
115 485 5
451 448 5
318 431 5
282 27 2
409 142 3
314 56 1
128 488 5
214 341 1
440 419 1
445 322 2
403 244 2
204 23 5
64 30 5
331 495 5
469 22 1
289 49 3
317 66 3
252 208 4
460 357 1
69 488 5
488 212 4
468 483 2
277 96 2
355 170 2
58 151 5
413 301 1
35 475 3
160 281 3
430 302 5
72 252 3
166 172 5
421 296 1
91 444 2
225 177 3
490 311 3
157 366 2
314 399 5
269 114 2
299 330 1
195 470 4
500 500
194 178 2
386 121 2
135 145 2
172 405 2
138 478 2
439 364 3
159 18 3
266 262 5
453 497 5
218 401 1
188 234 4
433 181 1
141 215 3
127 42 2
10 304 5
456 319 5
205 441 1
45 306 3
104 225 1
121 498 2
301 390 2
200 435 4
282 469 1
436 71 1
285 20 4
122 404 1
256 228 2
162 63 2
390 366 4
299 148 2
64 287 3
177 3 5
344 70 5
223 295 1
152 437 2
472 498 5
119 377 3
217 374 4
143 215 1
253 228 5
366 369 2
53 96 4
167 78 5
210 139 1
37 195 2
198 472 1
32 424 4
353 424 5
407 175 1
464 179 3
214 413 2
250 185 5
108 380 2
458 331 2
492 454 1
196 409 5
393 299 4
224 172 1
265 366 4
395 46 1
83 157 1
181 9 4
355 58 1
325 474 2
265 412 4
299 261 1
411 119 4
98 244 4
111 366 2
112 232 2
195 401 2
190 28 3
436 146 3
67 371 1
304 227 5
442 399 2
251 332 1
213 451 2
63 67 4
26 5 2
499 201 4
186 477 1
431 160 5
446 153 5
118 464 5
173 229 3
118 364 4
435 75 4
107 43 5
287 242 4
172 275 2
141 97 3
28 177 2
459 482 3
58 392 2
284 279 5
483 141 2
137 251 5
296 103 2
452 2 4
330 92 5
37 240 4
398 301 3
34 359 3
349 121 5
176 286 3
309 13 1
145 9 5
247 135 5
189 51 4
297 207 4
262 357 4
21 395 3
284 126 2
88 487 4
444 490 2
464 148 3
4 90 5
233 148 3
3 47 3
199 159 3
195 30 4
275 476 2
500 456 5
317 321 1
137 117 4
446 224 2
403 166 2
96 208 4
74 489 1
232 417 5
118 345 2
22 441 4
437 10 3
109 269 4
470 483 3
18 154 1
438 357 5
60 263 1
311 4 3
483 90 1
59 93 2
38 23 3
411 149 1
282 127 3
447 298 1
69 190 1
312 104 5
13 324 3
447 320 3
430 423 1
309 389 3
352 199 2
123 327 4
157 162 4
52 194 2
196 107 3
254 40 1
414 75 2
458 77 3
370 262 4
442 437 1
349 331 2
63 31 3
188 88 4
263 35 2
11 230 1
44 370 3
66 484 1
166 408 5
76 421 2
343 216 4
445 411 1
10 444 2
73 431 4
243 227 3
88 490 5
263 76 3
166 400 1
361 66 2
423 409 5
359 443 2
37 469 2
131 237 2
494 255 5
107 38 5
246 363 2
272 120 5
94 17 4
94 102 5
243 319 3
477 237 4
29 499 5
373 254 5
456 7 2
19 48 4
479 493 4
227 350 5
413 448 5
150 418 1
377 28 2
152 382 3
356 316 2
22 151 3
259 321 5
478 108 4
310 382 3
293 401 5
49 375 2
64 182 3
323 401 4
500 304 1
24 133 2
463 353 3
309 286 4
367 391 5
273 98 3
102 491 4
9 3 3
397 450 2
375 286 1
242 76 1
340 361 4
325 375 4
35 150 3
375 355 1
410 153 4
296 447 2
1 184 1
294 483 1
482 375 5
75 489 4
144 109 2
436 377 2
286 247 4
348 486 5
273 276 5
36 430 1
426 174 5
37 213 4
72 264 4
58 134 5
188 86 2
289 443 2
108 478 4
280 408 3
410 426 1
248 459 3
270 253 3
210 445 2
288 445 5
34 123 4
7 463 3
493 292 5
438 381 3
376 309 3
166 444 5
8 201 4
45 228 3
380 169 4
444 50 5
404 366 3
79 230 3
491 269 2
165 304 2
198 399 5
113 51 1
148 56 5
1 141 3
500 201 3
161 141 3
395 361 5
246 290 3
276 273 1
405 154 2
339 182 1
81 199 3
281 99 1
225 124 1
382 153 1
84 303 2
221 438 3
310 233 4
292 363 1
337 174 5
351 440 1
80 170 2
24 321 1
101 33 3
407 323 4
459 332 2
271 89 5
365 421 2
288 124 1
7 11 2
422 241 2
263 313 1
486 109 1
461 95 1
199 354 1
145 90 1
172 497 4
126 476 1
463 491 1
142 61 4
72 162 5
194 65 4
215 122 4
42 440 4
79 194 5
30 6 3
9 193 1
235 225 4
444 80 2
83 220 5
119 103 4
187 285 1
473 400 1
7 158 2
328 325 2
253 25 4
426 271 3
198 118 2
347 356 4
204 19 3
334 156 4
235 173 2
444 308 3
455 295 2
439 490 1
102 139 4
217 471 3
39 325 1
70 102 2
429 468 3
297 273 1
368 440 2
261 259 4
227 272 4
417 499 5
442 217 2
172 78 2
312 219 4
170 68 1
420 419 1
443 268 4
195 369 5
475 283 5
271 338 4
363 494 3
90 316 1
348 259 2
428 407 5
103 459 4
100 181 4
6 61 4
444 427 5
170 286 3
330 151 4
69 84 1
183 440 5
499 187 1
168 128 1
493 252 3
472 157 2
134 329 4
440 247 2
354 238 4
268 364 3
334 258 2
292 314 4
384 288 5
230 119 5
399 314 4
44 362 4
347 492 2
133 152 3
110 126 4
434 24 4
47 254 3
497 315 2
144 24 3
202 403 1
160 434 3
268 187 3
88 200 4
443 405 1
20 89 2
259 189 3
445 166 5
197 151 1
342 276 5
497 233 3
125 293 2
363 217 1
200 484 1
255 370 4
419 17 4
32 186 3
221 169 5
111 292 5
116 300 1
457 492 5
269 334 2
9 4 4
29 334 3
157 144 4
286 78 5
208 466 4
5 245 3
92 482 1
243 152 4
167 379 2
104 121 4
191 393 1
220 473 3
369 371 2
183 450 5
197 415 4
331 447 2
311 289 1
15 173 5
344 323 5
250 468 1
16 433 2
188 38 2
79 159 4
57 153 2
367 176 4
369 22 5
163 41 2
358 8 5
424 162 1
24 373 2
318 345 5
24 140 5
5 238 1
17 278 5
324 166 4
57 406 1
161 430 4
416 255 1
221 491 4
45 190 4
231 218 2
351 274 2
344 340 2
61 278 2
289 57 2
189 285 3
136 321 2
258 25 2
67 26 4
490 6 2
469 125 1
431 473 2
434 469 1
252 308 1
372 266 2
455 431 5
43 217 2
15 185 1
469 129 4
159 79 4
382 288 1
347 99 5
268 424 5
199 56 4
368 148 5
110 328 1
277 266 4
480 6 3
126 447 4
405 53 1
201 187 5
371 178 2
248 2 1
465 109 3
306 53 3
490 378 2
160 406 4
344 34 1
401 134 4
421 13 3
441 489 2
500 227 2
271 359 4
245 318 2
254 417 4
55 494 1
305 373 3
137 196 1
160 130 2
382 246 5
321 138 5
73 4 5
132 469 4
48 280 1
6 2 1
428 199 2
500 500
103 144 5
319 150 5
492 61 2
58 277 4
131 326 2
463 132 5
45 426 2
295 180 1
127 277 2
314 191 1
35 306 1
128 55 1
191 467 4
464 410 3
75 304 2
188 42 3
219 197 5
271 372 1
317 332 5
78 74 4
399 102 5
263 405 4
138 146 5
306 218 4
371 469 1
313 152 1
487 357 5
425 164 2
481 191 2
257 486 1
295 210 1
499 278 3
214 312 4
147 345 1
467 408 3
357 210 4
127 36 5
83 110 2
59 153 1
388 385 1
257 366 5
417 162 2
313 439 1
401 41 1
161 313 2
81 276 1
30 104 5
82 385 5
423 404 1
302 93 5
393 80 1
366 37 3
81 461 5
254 369 4
404 70 5
306 164 2
344 253 1
39 46 2
143 467 3
28 406 3
441 110 3
437 399 3
267 287 4
296 361 1
371 145 3
393 434 1
216 312 5
317 95 2
33 227 2
85 291 5
223 205 5
422 453 2
200 232 1
298 357 3
86 104 1
60 450 4
143 195 2
347 276 5
27 185 4
453 114 1
239 146 4
439 301 3
328 28 3
302 224 2
139 26 4
142 106 1
438 157 5
93 64 2
75 34 4
305 386 5
405 134 3
389 374 3
361 106 4
313 180 5
291 178 4
491 79 4
356 86 2
14 176 4
160 218 5
403 46 5
266 477 4
117 452 5
189 2 5
381 235 3
103 56 2
440 325 3
259 385 3
322 4 3
396 284 3
182 61 3
337 497 4
27 241 4
329 30 1
76 25 1
174 478 2
373 134 2
253 68 5
378 461 5
312 199 5
430 284 1
256 369 2
458 432 5
336 192 2
52 309 4
353 114 5
179 21 1
154 39 4
164 290 3
455 220 2
38 172 3
182 1 3
422 310 5
485 363 1
248 315 3
494 323 4
252 164 1
217 76 2
296 353 3
96 91 5
401 6 2
233 144 2
295 433 4
356 445 5
401 286 3
415 332 1
181 8 2
331 356 3
63 191 3
376 221 4
114 116 3
158 39 1
27 401 3
343 361 2
87 449 4
265 476 4
306 186 2
400 72 5
365 443 5
340 441 1
483 268 1
458 390 5
288 90 3
245 76 5
299 19 5
263 214 3
377 489 5
121 493 5
425 24 5
36 32 4
17 126 4
409 388 5
425 385 3
273 250 5
160 235 4
340 465 3
436 208 1
263 220 2
267 343 4
434 205 3
425 56 2
336 432 2
287 436 2
320 82 3
158 186 3
93 251 1
188 104 5
176 98 1
198 449 1
358 110 1
141 136 1
78 77 1
487 485 1
47 296 5
409 457 5
208 374 1
249 26 3
159 272 5
240 410 1
294 236 3
83 486 3
243 139 3
68 31 2
465 202 2
420 392 4
225 444 2
339 439 2
446 120 4
194 100 4
495 232 5
250 105 1
424 141 4
70 371 3
364 156 5
247 233 1
435 411 4
457 153 5
276 18 5
60 38 3
445 439 3
32 250 2
396 458 5
101 254 4
71 158 5
342 107 4
145 263 5
289 213 5
168 420 3
317 282 2
254 54 1
65 7 2
178 327 3
297 216 5
174 369 5
393 5 2
349 84 4
73 287 5
444 80 1
83 61 3
97 331 1
236 298 1
338 261 1
2 59 2
321 213 1
35 126 2
240 183 5
472 196 1
43 407 5
350 216 1
181 142 3
145 331 2
79 161 1
97 114 2
122 90 1
392 19 2
335 409 4
98 416 2
91 38 5
340 343 5
37 407 1
222 47 4
292 92 1
172 166 5
120 347 3
104 460 4
112 66 5
371 47 1
113 290 3
465 54 1
500 23 1
244 357 2
249 285 1
398 310 2
307 421 4
30 364 1
181 119 5
7 245 5
362 99 3
20 151 1
90 178 2
186 452 1
497 212 4
288 230 2
432 246 5
96 16 2
299 439 2
434 360 5
34 106 3
261 429 2
495 209 5
381 27 5
263 316 1
456 493 5
20 2 2
485 164 5
320 448 3
440 451 3
187 19 3
183 234 2
289 108 5
394 214 2
53 22 1
214 387 5
131 447 4
387 164 3
340 263 5
75 225 5
484 81 2
131 402 5
275 338 5
313 251 1
450 320 3
66 121 5
162 151 2
400 392 1
154 176 5
202 388 2
160 58 4
332 162 2
273 469 4
417 30 4
216 413 5
268 40 4
473 217 2
396 137 2
402 271 1
25 66 2
378 93 1
470 125 2
398 16 3
145 237 2
268 22 4
408 34 5
236 387 4
18 139 5
174 25 2
53 107 3
88 108 2
460 465 5
421 361 4
378 223 2
85 306 2
66 177 5
234 12 1
188 211 2
161 296 1
475 324 3
166 105 2
14 75 2
488 485 3
300 424 1
275 341 4
431 327 5
453 194 1
91 42 4
204 176 2
13 74 1
83 465 1
422 266 3
395 407 1
348 281 1
393 300 4
232 137 2
152 109 4
230 266 1
305 355 4
46 481 2
498 55 4
23 44 4
426 91 2
271 9 5
229 257 5
236 235 4
84 60 3
340 19 1
30 331 5
373 469 4
43 386 4
85 138 2
31 488 3
345 436 3
320 461 2
180 301 5
76 223 2
443 52 5
320 323 4
200 451 1
184 348 3
399 136 4
315 110 4
454 362 5
302 290 2
43 248 5
136 271 3
353 257 3
335 28 2
336 318 5
143 46 1
484 361 1
307 184 5
184 211 3
220 224 4
133 233 5
180 36 1
22 375 4
251 8 5
5 391 2
327 44 3
337 68 4
210 202 2
204 64 4
107 162 4
94 143 5
7 361 4
482 443 4
217 90 3
429 180 2
296 456 3
403 212 5
13 361 5
447 240 3
321 152 2
468 32 5
7 49 4
314 170 5
323 382 5
104 390 1
382 338 4
138 395 1
70 363 3
319 167 3
394 165 4
202 200 2
409 176 1
477 424 5
190 323 1
7 45 5
19 246 3
158 487 3
208 384 4
399 108 2
408 171 2
118 411 2
152 257 3
117 308 3
490 367 1
412 224 4
368 31 5
181 224 3
185 249 4
162 40 4
271 8 4
136 137 3
405 85 3
104 414 3
10 393 5
287 431 1
22 72 5
348 320 5
448 413 4
174 296 2
335 124 1
471 75 5
74 213 3
299 18 1
93 395 5
245 318 4
422 304 4
23 411 5
460 130 5
212 361 4
201 155 2
245 493 2
179 177 3
479 362 3
103 43 5
131 232 1
136 150 5
182 170 1
427 94 4
475 320 4
67 479 1
239 44 2
77 159 4
127 79 4
32 103 1
374 154 1
92 345 3
441 239 2
229 105 1
206 178 3
475 340 5
469 462 3
486 108 2
228 486 5
303 429 5
172 182 3
180 323 1
178 224 5
137 384 3
31 469 4
500 500
53 147 4
190 423 3
378 444 4
410 19 3
297 172 1
73 182 1
476 286 3
347 110 4
254 461 5
482 364 1
358 26 3
179 375 2
362 306 4
338 255 1
448 236 3
459 386 2
94 272 4
387 274 5
8 319 3
47 473 2
352 150 5
386 268 2
113 144 5
345 379 1
222 262 4
466 18 2
393 453 2
373 420 3
162 146 4
163 150 5
479 252 3
255 33 2
358 247 5
184 67 4
460 396 4
377 349 4
92 102 1
346 138 5
115 488 4
370 270 4
151 370 2
13 361 2
423 117 2
288 51 2
370 41 4
272 426 4
88 269 1
317 3 5
466 225 3
465 484 4
371 405 2
359 439 3
239 498 4
255 408 3
415 485 5
244 200 5
348 66 2
416 465 4
11 359 2
497 175 4
353 393 5
339 28 4
406 449 4
181 324 5
219 478 2
441 246 1
148 348 1
212 238 4
101 234 4
75 331 5
250 99 2
151 72 5
28 280 2
359 24 5
166 108 1
290 387 4
419 1 4
153 273 3
51 140 5
177 325 2
171 82 1
139 275 5
51 259 3
128 450 4
171 18 3
328 285 1
228 330 4
195 59 1
458 222 1
68 14 4
142 119 3
159 391 4
51 56 1
299 32 5
371 368 4
131 498 1
403 424 3
431 272 1
49 113 3
487 245 1
205 215 1
392 73 3
184 98 5
330 405 3
383 13 2
447 497 2
404 413 4
23 481 4
325 1 4
115 242 2
410 448 3
170 382 3
130 165 2
38 134 2
251 56 2
382 277 3
88 335 2
35 66 1
107 463 5
433 272 2
429 456 4
374 300 3
321 498 5
94 476 3
283 215 2
346 35 3
195 83 1
5 363 5
368 114 5
392 72 3
493 302 1
369 170 2
487 397 1
387 354 2
417 266 3
261 109 2
263 383 5
93 306 1
427 416 1
127 188 5
311 460 5
286 447 2
205 184 2
108 155 4
246 275 2
206 167 3
163 246 5
260 253 1
24 44 1
450 82 2
160 169 5
97 145 3
475 471 2
141 349 5
358 228 1
375 432 1
311 16 1
42 408 1
424 8 1
313 115 4
24 265 4
447 280 5
98 99 4
48 277 5
84 185 4
33 470 1
166 486 5
73 482 2
497 67 2
70 20 2
10 86 2
116 474 2
293 53 4
228 294 5
139 500 3
16 77 4
353 99 5
151 399 4
359 46 2
330 324 5
477 87 4
399 43 1
487 81 1
231 130 4
413 47 5
83 340 3
189 28 5
86 353 2
470 78 3
490 480 1
313 227 4
162 487 1
500 428 4
456 397 3
304 185 2
332 345 3
308 322 5
182 413 3
470 7 4
370 181 5
123 414 2
68 95 5
468 375 1
229 134 5
273 412 4
44 247 2
222 201 5
457 193 2
91 241 3
304 466 1
466 497 4
347 12 3
471 265 5
295 168 1
239 494 3
215 355 5
26 500 2
4 394 2
42 410 4
428 225 5
125 185 1
385 45 4
65 280 4
497 330 5
158 56 4
204 233 3
3 8 4
314 258 5
371 383 4
269 60 1
236 177 1
68 288 3
240 248 1
96 54 4
206 337 2
370 245 1
14 217 3
368 130 4
426 489 4
209 31 2
408 225 4
294 48 2
436 339 5
156 294 4
485 236 2
323 167 2
302 103 5
425 217 5
52 170 1
366 374 3
216 98 3
236 3 4
267 249 1
390 249 1
153 439 3
494 9 4
225 228 4
31 397 1
83 304 4
133 385 5
96 487 3
154 181 5
464 315 1
351 289 5
354 242 3
442 266 5
20 463 2
236 325 2
480 254 2
182 79 1
316 285 2
54 167 4
95 136 3
428 202 3
61 468 2
40 148 3
248 360 2
304 58 4
110 462 3
239 112 3
345 206 5
223 169 4
84 137 2
190 56 2
45 338 1
387 350 1
72 295 3
177 320 2
345 201 2
256 128 2
180 53 5
69 493 1
487 387 5
405 446 1
323 490 4
398 113 4
324 99 1
389 151 3
2 65 3
158 141 4
252 490 5
17 315 5
295 220 4
430 468 3
2 137 2
67 412 2
240 245 2
407 169 4
439 407 1
216 259 1
94 144 4
379 103 4
138 432 4
152 174 2
276 263 2
70 379 4
167 239 5
46 450 4
18 390 1
13 230 2
108 284 2
115 217 2
484 475 1
343 30 1
74 50 5
329 55 4
383 107 4
366 346 2
